x0,y0,x1,y1,Name,elev_in,elev_out,Length,FromNode,ToNode,Roughness,elev_InOff,elev_OutOf
118587.8500000015,484021,118583.8099999987,484035.7600000016,DSF0,0.882,0.878,15.34000,M12292,M12293,0.012,0.000,0.010
118583.8099999987,484036,118579.6299999990,484054.1799999997,DSF1,0.878,0.814,18.89000,M12293,M12294,0.012,0.000,0.010
118579.6299999990,484054,118575.5199999996,484063.3900000006,DSF2,0.814,0.777,10.09000,M12294,M14070,0.012,0.000,0.730
118575.3399999999,484073,118573.7199999988,484092.0300000012,DSF3,0.796,0.907,19.01000,M12295,M12296,0.012,0.000,0.000
118575.3399999999,484073,118575.5199999996,484063.3900000006,DSF4,0.796,0.777,9.70000,M12295,M14070,0.012,0.010,0.710
118573.7199999988,484092,118570.1600000001,484113.9600000009,DSF5,0.907,0.979,22.22000,M12296,M12297,0.012,0.010,0.000
118581.7199999988,484128,118582.3599999994,484149.0899999999,DSF6,1.019,1.007,21.60000,M12298,M12299,0.012,0.000,0.010
118582.3599999994,484149,118582.9400000013,484167.8900000006,DSF7,1.007,0.958,18.81000,M12299,M12300,0.012,0.000,0.020
118582.9400000013,484168,118591.1999999993,484179.5300000012,DSF8,0.958,1.002,14.27000,M12300,M12301,0.012,0.000,0.010
118591.1999999993,484180,118601.8799999990,484195.1200000010,DSF9,1.002,0.984,18.90000,M12301,M22748,0.012,0.000,0.620
118593.0199999996,484230,118594.8099999987,484220.1299999990,DSF10,0.736,0.752,9.69000,M12358,M12359,0.012,0.010,0.000
118593.0199999996,484230,118573.6799999997,484225.6499999985,DSF11,0.736,0.762,19.75000,M12358,M12360,0.012,0.000,0.010
118594.8099999987,484220,118598.7800000012,484213.4400000013,DSF12,0.752,0.786,7.78000,M12359,M14077,0.012,0.000,0.110
118573.6799999997,484226,118550.5500000007,484220.8299999982,DSF13,0.762,0.735,23.63000,M12360,M12361,0.012,0.000,0.000
118550.5500000007,484221,118532.2600000016,484216.9200000018,DSF14,0.735,0.717,18.70000,M12361,M12362,0.012,0.000,0.040
118532.2600000016,484217,118528.7100000009,484233.5300000012,DSF15,0.717,0.792,16.99000,M12362,M12363,0.012,0.000,0.010
118528.7100000009,484234,118525.2500000000,484250.0599999987,DSF16,0.792,0.804,16.89000,M12363,M12364,0.012,0.000,0.000
118525.2500000000,484250,118523.1099999994,484274.1099999994,DSF17,0.804,0.816,24.15000,M12364,M12365,0.012,0.000,0.030
118523.1099999994,484274,118524.3000000007,484296.0300000012,DSF18,0.816,0.804,21.95000,M12365,M12366,0.012,0.000,0.000
118524.3000000007,484296,118529.1999999993,484318.9299999997,DSF19,0.804,0.815,23.42000,M12366,M12367,0.012,0.010,0.000
118529.1999999993,484319,118537.5899999999,484339.7800000012,DSF20,0.815,0.823,22.47000,M12367,M12368,0.012,0.020,0.000
118537.5899999999,484340,118550.5100000016,484362.3900000006,DSF21,0.823,0.814,26.04000,M12368,M12369,0.012,0.000,0.000
118580.3599999994,484352,118589.2899999991,484336.5000000000,DSF22,0.996,1.032,17.69000,M12370,M12371,0.012,0.000,0.000
118589.2899999991,484337,118597.8700000010,484321.8999999985,DSF23,1.032,1.015,16.93000,M12371,M12372,0.012,0.000,0.000
118595.0899999999,484356,118587.0199999996,484379.5399999991,DSF24,1.344,0.974,25.33000,M12384,M12385,0.012,0.000,0.000
118589.6999999993,484015,118581.9100000001,484035.2500000000,TRR25,0.855,0.784,22.11000,M14068,M14069,0.014,0.000,0.030
118589.6999999993,484015,118601.6799999997,483992.3200000003,TRR26,0.855,0.875,25.26000,M14068,N24010,0.014,0.000,0.030
118581.9100000001,484035,118575.5199999996,484063.3900000006,TRR27,0.784,0.777,28.86000,M14069,M14070,0.014,0.000,0.050
118575.5199999996,484063,118570.3299999982,484087.1600000001,TRR28,0.777,0.784,24.33000,M14070,M14071,0.014,0.000,0.000
118570.3299999982,484087,118569.0100000016,484102.7800000012,TRR29,0.784,0.803,15.68000,M14071,M14072,0.014,0.000,0.780
118569.0100000016,484103,118568.0799999982,484112.4600000009,TRR30,0.803,0.876,9.72000,M14072,M14073,0.014,0.000,0.000
118569.0100000016,484103,118561.5700000003,484102.8200000003,TRR31,0.803,1.100,7.44000,M14072,M18003,0.014,0.110,0.000
118568.0799999982,484112,118566.5100000016,484137.1299999990,TRR32,0.876,0.784,24.72000,M14073,M14074,0.014,0.390,0.000
118566.5100000016,484137,118574.0399999991,484166.1000000015,TRR33,0.784,0.790,29.93000,M14074,M14075,0.014,0.000,0.000
118574.0399999991,484166,118596.3700000010,484198.8500000015,TRR34,0.790,0.909,39.64000,M14075,M14076,0.014,0.000,0.040
118596.3700000010,484199,118598.7800000012,484213.4400000013,TRR35,0.909,0.786,14.79000,M14076,M14077,0.014,0.000,0.000
118596.3700000010,484199,118601.8799999990,484195.1200000010,DSF36,0.909,0.984,6.65000,M14076,M22748,0.012,0.350,0.000
118593.0199999996,484230,118615.3299999982,484234.6900000013,DSF37,0.736,0.744,22.87000,M12358,M22756,0.012,0.040,0.010
118597.8700000010,484322,118605.3799999990,484322.9499999993,DSF38,1.015,0.904,7.58000,M12372,M22763,0.012,0.000,0.240
118595.0899999999,484356,118605.3799999990,484322.9499999993,DSF39,1.344,0.904,34.17000,M12384,M22763,0.012,0.000,0.240
118598.7800000012,484213,118660.8399999999,484227.2600000016,TRR40,0.786,0.771,63.58000,M14077,M24055,0.014,0.050,0.030
118997.7100000009,484282,119014.8999999985,484285.1099999994,DSF41,0.516,0.527,17.56000,M22004,M22319,0.012,0.000,0.000
118997.7100000009,484282,118998.8099999987,484275.9200000018,DSF42,0.516,0.595,5.71000,M22004,M22320,0.012,0.000,0.090
118830.4600000009,484207,118868.4800000004,484215.7300000004,CMB43,0.556,0.555,38.98000,M22232,M22871,0.012,0.000,0.000
118968.6400000006,484293,119002.5199999996,484300.3799999990,CMB44,0.422,0.472,34.73000,M22205,M24014,0.012,0.000,0.620
