X_Coord,Y_Coord,Name,elevation,inv_elev,MaxDepth,open,InitDepth,SurDepth,Aponded,routing
118587.8500000015,484020.9600000009,M12292,0.882,-0.290,1.172,1,0,0,1,1
118583.8099999987,484035.7600000016,M12293,0.878,-0.350,1.228,1,0,0,1,1
118579.6299999990,484054.1799999997,M12294,0.814,-0.380,1.194,1,0,0,1,1
118575.3399999999,484073.0899999999,M12295,0.796,-0.470,1.266,1,0,0,1,1
118573.7199999988,484092.0300000012,M12296,0.907,-0.420,1.327,1,0,0,1,1
118581.7199999988,484127.5000000000,M12298,1.019,-0.310,1.329,1,0,0,1,1
118582.3599999994,484149.0899999999,M12299,1.007,-0.350,1.357,1,0,0,1,1
118582.9400000013,484167.8900000006,M12300,0.958,-0.350,1.308,1,0,0,1,1
118591.1999999993,484179.5300000012,M12301,1.002,-0.370,1.372,1,0,0,1,1
118593.0199999996,484229.6499999985,M12358,0.736,-1.250,1.986,1,0,0,1,1
118594.8099999987,484220.1299999990,M12359,0.752,-1.240,1.992,1,0,0,1,1
118573.6799999997,484225.6499999985,M12360,0.762,-1.200,1.962,1,0,0,1,1
118550.5500000007,484220.8299999982,M12361,0.735,-1.090,1.825,1,0,0,1,1
118532.2600000016,484216.9200000018,M12362,0.717,-1.000,1.717,1,0,0,1,1
118528.7100000009,484233.5300000012,M12363,0.792,-0.970,1.762,1,0,0,1,1
118525.2500000000,484250.0599999987,M12364,0.804,-0.870,1.674,1,0,0,1,1
118523.1099999994,484274.1099999994,M12365,0.816,-0.820,1.636,1,0,0,1,1
118524.3000000007,484296.0300000012,M12366,0.804,-0.730,1.534,1,0,0,1,1
118529.1999999993,484318.9299999997,M12367,0.815,-0.630,1.445,1,0,0,1,1
118537.5899999999,484339.7800000012,M12368,0.823,-0.580,1.403,1,0,0,1,1
118580.3599999994,484351.7699999996,M12370,0.996,-0.480,1.476,1,0,0,1,1
118589.2899999991,484336.5000000000,M12371,1.032,-0.490,1.522,1,0,0,1,1
118595.0899999999,484355.5300000012,M12384,1.344,-0.540,1.884,1,0,0,1,1
118589.6999999993,484014.5599999987,M14068,0.855,-1.190,2.045,1,0,0,1,1
118581.9100000001,484035.2500000000,M14069,0.784,-1.220,2.004,1,0,0,1,1
118575.5199999996,484063.3900000006,M14070,0.777,-1.270,2.047,1,0,0,1,1
