Link,Shape,Geom1,Geom2,Geom3,Geom4,Barrels,Culvert,Tsect
DSF0,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF1,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF2,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF3,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF4,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF5,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF6,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF7,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF8,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF9,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF10,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF11,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF12,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF13,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF14,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF15,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF16,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF17,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF18,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF19,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF20,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF21,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF22,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF23,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF24,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
TRR25,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR26,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR27,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR28,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR29,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR30,CIRCULAR,0.400,0.000,0.000,0.000,1, , 
TRR31,CIRCULAR,0.400,0.000,0.000,0.000,1, , 
TRR32,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR33,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR34,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
TRR35,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
DSF36,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF37,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF38,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF39,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
TRR40,CIRCULAR,0.300,0.000,0.000,0.000,1, , 
DSF41,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
DSF42,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB43,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB44,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB45,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB46,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB47,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB48,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB49,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB50,CIRCULAR,0.700,0.000,0.000,0.000,1, , 
CMB51,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB52,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB53,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB54,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB55,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB56,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB57,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB58,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB59,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB60,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB61,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB62,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB63,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB64,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB65,CIRCULAR,0.297,0.000,0.000,0.000,1, , 
CMB66,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB67,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB68,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB69,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB70,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
CMB71,CIRCULAR,0.234,0.000,0.000,0.000,1, , 
CMB72,CIRCULAR,0.600,0.000,0.000,0.000,1, , 
